,Unnamed: 0,Area Name,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS
21,21,Brewster County,Fourth Quarter,33.0,187.0,23.0,873.0,14.6,Construction,48043.0
22,22,Briscoe County,Fourth Quarter,6.0,,,,,Construction,48045.0
23,23,Brooks County,Fourth Quarter,7.0,77.0,28.3,713.0,-24.2,Construction,48047.0
24,24,Brown County,Fourth Quarter,74.0,557.0,3.9,915.0,18.7,Construction,48049.0
25,25,Burleson County,Fourth Quarter,37.0,515.0,72.8,1412.0,31.2,Construction,48051.0
26,26,Burnet County,Fourth Quarter,207.0,1330.0,-5.1,1063.0,-0.4,Construction,48053.0
27,27,Caldwell County,Fourth Quarter,73.0,566.0,41.5,941.0,5.5,Construction,48055.0
28,28,Calhoun County,Fourth Quarter,63.0,2438.0,19.3,1177.0,-8.5,Construction,48057.0
29,29,Callahan County,Fourth Quarter,30.0,200.0,68.1,1676.0,-39.6,Construction,48059.0
30,30,Cameron County,Fourth Quarter,346.0,2839.0,-6.5,789.0,-8.5,Construction,48061.0
31,31,Camp County,Fourth Quarter,36.0,271.0,5.9,840.0,6.3,Construction,48063.0
32,32,Carson County,Fourth Quarter,18.0,,,,,Construction,48065.0
33,33,Cass County,Fourth Quarter,38.0,221.0,-26.1,953.0,-24.8,Construction,48067.0
34,34,Castro County,Fourth Quarter,6.0,15.0,-25.0,721.0,-1.0,Construction,48069.0
35,35,Chambers County,Fourth Quarter,59.0,2342.0,126.3,1449.0,2.8,Construction,48071.0
36,36,Cherokee County,Fourth Quarter,60.0,511.0,-24.5,775.0,-4.3,Construction,48073.0
37,37,Childress County,Fourth Quarter,15.0,,,,,Construction,48075.0
38,38,Clay County,Fourth Quarter,13.0,24.0,4.3,1017.0,2.6,Construction,48077.0
39,39,Cochran County,Fourth Quarter,2.0,,,,,Construction,48079.0
40,40,Coke County,Fourth Quarter,11.0,53.0,8.2,665.0,19.6,Construction,48081.0
41,41,Coleman County,Fourth Quarter,21.0,96.0,-11.1,660.0,7.5,Construction,48083.0
42,42,Collin County,Fourth Quarter,1505.0,17304.0,3.7,1541.0,-3.8,Construction,48085.0
43,43,Collingsworth County,Fourth Quarter,3.0,,,,,Construction,48087.0
44,44,Colorado County,Fourth Quarter,57.0,577.0,-0.7,1136.0,3.6,Construction,48089.0
45,45,Comal County,Fourth Quarter,477.0,5609.0,7.7,1122.0,-3.4,Construction,48091.0
46,46,Comanche County,Fourth Quarter,26.0,81.0,-18.2,839.0,18.3,Construction,48093.0
47,47,Concho County,Fourth Quarter,6.0,,,,,Construction,48095.0
48,48,Cooke County,Fourth Quarter,83.0,541.0,7.3,946.0,6.2,Construction,48097.0
49,49,Coryell County,Fourth Quarter,111.0,820.0,-11.3,860.0,-2.2,Construction,48099.0
50,50,Cottle County,Fourth Quarter,3.0,,,,,Construction,48101.0
51,51,Crane County,Fourth Quarter,3.0,,,,,Construction,48103.0
52,52,Crockett County,Fourth Quarter,14.0,,,,,Construction,48105.0
53,53,Crosby County,Fourth Quarter,9.0,,,,,Construction,48107.0
54,54,Culberson County,Fourth Quarter,6.0,,,,,Construction,48109.0
55,55,Dallam County,Fourth Quarter,41.0,282.0,-5.1,1023.0,2.4,Construction,48111.0
56,56,Dallas County,Fourth Quarter,4644.0,88857.0,3.0,1420.0,3.8,Construction,48113.0
57,57,Dawson County,Fourth Quarter,18.0,101.0,13.5,690.0,-6.6,Construction,48115.0
58,58,Deaf Smith County,Fourth Quarter,44.0,287.0,-5.9,816.0,11.6,Construction,48117.0
59,59,Delta County,Fourth Quarter,8.0,46.0,7.0,627.0,-0.9,Construction,48119.0
60,60,Denton County,Fourth Quarter,1157.0,13906.0,7.7,1320.0,5.3,Construction,48121.0
61,61,DeWitt County,Fourth Quarter,52.0,579.0,40.2,1018.0,11.6,Construction,48123.0
62,62,Dimmit County,Fourth Quarter,18.0,188.0,-6.0,1370.0,57.1,Construction,48127.0
63,63,Donley County,Fourth Quarter,6.0,,,,,Construction,48129.0
64,64,Duval County,Fourth Quarter,12.0,,,,,Construction,48131.0
65,65,Eastland County,Fourth Quarter,37.0,846.0,67.2,897.0,-24.8,Construction,48133.0
66,66,Ector County,Fourth Quarter,312.0,7113.0,16.6,1489.0,12.5,Construction,48135.0
67,67,Edwards County,Fourth Quarter,5.0,,,,,Construction,48137.0
68,68,Ellis County,Fourth Quarter,381.0,3682.0,16.3,1249.0,11.9,Construction,48139.0
69,69,El Paso County,Fourth Quarter,1231.0,15307.0,6.2,855.0,3.5,Construction,48141.0
70,70,Erath County,Fourth Quarter,123.0,1101.0,22.7,1018.0,16.7,Construction,48143.0
71,71,Falls County,Fourth Quarter,11.0,59.0,-19.2,955.0,-0.5,Construction,48145.0
72,72,Fannin County,Fourth Quarter,44.0,379.0,3.8,1073.0,20.8,Construction,48147.0
73,73,Fayette County,Fourth Quarter,81.0,461.0,-2.3,1019.0,12.5,Construction,48149.0
74,74,Fisher County,Fourth Quarter,4.0,,,,,Construction,48151.0
75,75,Floyd County,Fourth Quarter,13.0,62.0,59.0,1063.0,39.0,Construction,48153.0
76,76,Foard County,Fourth Quarter,5.0,,,,,Construction,48155.0
77,77,Fort Bend County,Fourth Quarter,874.0,11396.0,4.2,1971.0,0.1,Construction,48157.0
78,78,Franklin County,Fourth Quarter,21.0,121.0,9.0,720.0,1.0,Construction,48159.0
79,79,Freestone County,Fourth Quarter,29.0,181.0,24.8,823.0,-26.3,Construction,48161.0
80,80,Frio County,Fourth Quarter,30.0,344.0,19.0,1358.0,8.8,Construction,48163.0
81,81,Gaines County,Fourth Quarter,70.0,506.0,3.3,1139.0,21.8,Construction,48165.0
82,82,Galveston County,Fourth Quarter,499.0,5971.0,-14.0,1359.0,-6.2,Construction,48167.0
83,83,Garza County,Fourth Quarter,13.0,,,,,Construction,48169.0
84,84,Gillespie County,Fourth Quarter,138.0,991.0,3.9,993.0,8.1,Construction,48171.0
85,85,Glasscock County,Fourth Quarter,4.0,,,,,Construction,48173.0
86,86,Goliad County,Fourth Quarter,13.0,,,,,Construction,48175.0
87,87,Gonzales County,Fourth Quarter,32.0,191.0,-4.5,864.0,-8.4,Construction,48177.0
88,88,Gray County,Fourth Quarter,31.0,345.0,31.2,998.0,6.9,Construction,48179.0
89,89,Grayson County,Fourth Quarter,267.0,2658.0,-6.3,1200.0,2.1,Construction,48181.0
90,90,Gregg County,Fourth Quarter,268.0,7892.0,-2.7,1022.0,0.4,Construction,48183.0
91,91,Grimes County,Fourth Quarter,54.0,414.0,11.3,979.0,8.5,Construction,48185.0
92,92,Guadalupe County,Fourth Quarter,252.0,2600.0,13.9,1015.0,1.0,Construction,48187.0
93,93,Hale County,Fourth Quarter,51.0,689.0,62.9,980.0,-1.6,Construction,48189.0
94,94,Hall County,Fourth Quarter,6.0,21.0,90.9,717.0,32.0,Construction,48191.0
95,95,Hamilton County,Fourth Quarter,28.0,119.0,-16.8,1146.0,16.3,Construction,48193.0
96,96,Hansford County,Fourth Quarter,20.0,78.0,1.3,758.0,-2.3,Construction,48195.0
97,97,Hardeman County,Fourth Quarter,7.0,,,,,Construction,48197.0
98,98,Hardin County,Fourth Quarter,106.0,1285.0,11.1,1269.0,-11.3,Construction,48199.0
99,99,Harris County,Fourth Quarter,7507.0,156800.0,0.5,1482.0,0.4,Construction,48201.0
100,100,Harrison County,Fourth Quarter,136.0,1132.0,1.3,1111.0,-8.9,Construction,48203.0
101,101,Hartley County,Fourth Quarter,7.0,,,,,Construction,48205.0
102,102,Haskell County,Fourth Quarter,13.0,54.0,-1.8,921.0,2.8,Construction,48207.0
103,103,Hays County,Fourth Quarter,515.0,5080.0,1.2,1122.0,2.9,Construction,48209.0
104,104,Hemphill County,Fourth Quarter,18.0,537.0,67.8,981.0,-1.0,Construction,48211.0
105,105,Henderson County,Fourth Quarter,154.0,908.0,16.0,891.0,10.8,Construction,48213.0
106,106,Hidalgo County,Fourth Quarter,681.0,7078.0,5.1,766.0,7.7,Construction,48215.0
107,107,Hill County,Fourth Quarter,62.0,976.0,-10.0,1137.0,9.7,Construction,48217.0
108,108,Hockley County,Fourth Quarter,46.0,457.0,-1.5,1042.0,13.4,Construction,48219.0
109,109,Hood County,Fourth Quarter,162.0,1062.0,11.0,1042.0,7.0,Construction,48221.0
110,110,Hopkins County,Fourth Quarter,71.0,533.0,0.9,914.0,6.8,Construction,48223.0
111,111,Houston County,Fourth Quarter,68.0,382.0,11.4,875.0,-19.7,Construction,48225.0
112,112,Howard County,Fourth Quarter,61.0,596.0,38.3,1179.0,-0.5,Construction,48227.0
113,113,Hudspeth County,Fourth Quarter,2.0,,,,,Construction,48229.0
114,114,Hunt County,Fourth Quarter,145.0,987.0,14.8,1145.0,15.0,Construction,48231.0
115,115,Hutchinson County,Fourth Quarter,41.0,904.0,-36.2,1316.0,-24.9,Construction,48233.0
116,116,Irion County,Fourth Quarter,6.0,,,,,Construction,48235.0
117,117,Jack County,Fourth Quarter,28.0,653.0,18.9,803.0,5.8,Construction,48237.0
118,118,Jackson County,Fourth Quarter,39.0,852.0,8.7,1114.0,3.0,Construction,48239.0
119,119,Jasper County,Fourth Quarter,50.0,974.0,5.8,1126.0,14.9,Construction,48241.0
120,120,Jeff Davis County,Fourth Quarter,3.0,,,,,Construction,48243.0
121,121,Jefferson County,Fourth Quarter,447.0,14479.0,19.4,1501.0,3.7,Construction,48245.0
122,122,Jim Hogg County,Fourth Quarter,5.0,18.0,0.0,500.0,-17.5,Construction,48247.0
123,123,Jim Wells County,Fourth Quarter,53.0,395.0,-8.1,949.0,1.8,Construction,48249.0
124,124,Johnson County,Fourth Quarter,394.0,4307.0,24.5,1092.0,12.2,Construction,48251.0
125,125,Jones County,Fourth Quarter,29.0,184.0,2.2,753.0,3.4,Construction,48253.0
126,126,Karnes County,Fourth Quarter,31.0,131.0,22.4,995.0,26.9,Construction,48255.0
127,127,Kaufman County,Fourth Quarter,288.0,2700.0,5.6,1206.0,5.3,Construction,48257.0
128,128,Kendall County,Fourth Quarter,205.0,1836.0,8.6,1197.0,3.9,Construction,48259.0
129,129,Kent County,Fourth Quarter,1.0,,,,,Construction,48263.0
130,130,Kerr County,Fourth Quarter,172.0,1408.0,11.1,922.0,0.9,Construction,48265.0
131,131,Kimble County,Fourth Quarter,19.0,90.0,-27.4,807.0,-9.6,Construction,48267.0
132,132,King County,Fourth Quarter,1.0,,,,,Construction,48269.0
133,133,Kinney County,Fourth Quarter,2.0,,,,,Construction,48271.0
134,134,Kleberg County,Fourth Quarter,34.0,362.0,-6.5,777.0,7.9,Construction,48273.0
135,135,Knox County,Fourth Quarter,8.0,,,,,Construction,48275.0
136,136,Lamar County,Fourth Quarter,124.0,1136.0,1.3,1125.0,2.1,Construction,48277.0
137,137,Lamb County,Fourth Quarter,18.0,175.0,71.6,1175.0,30.6,Construction,48279.0
138,138,Lampasas County,Fourth Quarter,83.0,468.0,-2.5,709.0,-2.5,Construction,48281.0
139,139,La Salle County,Fourth Quarter,7.0,139.0,43.3,1283.0,11.3,Construction,48283.0
140,140,Lavaca County,Fourth Quarter,49.0,222.0,-11.9,940.0,32.2,Construction,48285.0
141,141,Lee County,Fourth Quarter,51.0,1907.0,-4.5,1396.0,-1.3,Construction,48287.0
142,142,Leon County,Fourth Quarter,41.0,611.0,-21.5,1174.0,20.0,Construction,48289.0
143,143,Liberty County,Fourth Quarter,118.0,1550.0,44.1,1393.0,8.9,Construction,48291.0
144,144,Limestone County,Fourth Quarter,23.0,122.0,-18.7,1006.0,13.7,Construction,48293.0
145,145,Lipscomb County,Fourth Quarter,11.0,,,,,Construction,48295.0
146,146,Live Oak County,Fourth Quarter,26.0,255.0,,1168.0,,Construction,48297.0
147,147,Llano County,Fourth Quarter,80.0,350.0,-0.8,776.0,2.1,Construction,48299.0
148,148,Loving County,Fourth Quarter,1.0,,,,,Construction,48301.0
149,149,Lubbock County,Fourth Quarter,767.0,7062.0,8.2,1048.0,1.1,Construction,48303.0
150,150,Lynn County,Fourth Quarter,6.0,37.0,,1243.0,,Construction,48305.0
151,151,McCulloch County,Fourth Quarter,24.0,79.0,6.8,748.0,56.2,Construction,48307.0
152,152,McLennan County,Fourth Quarter,486.0,6940.0,3.5,996.0,4.6,Construction,48309.0
153,153,Madison County,Fourth Quarter,21.0,368.0,-14.0,1242.0,15.6,Construction,48313.0
154,154,Marion County,Fourth Quarter,3.0,12.0,0.0,610.0,23.0,Construction,48315.0
155,155,Martin County,Fourth Quarter,12.0,465.0,,1310.0,,Construction,48317.0
156,156,Mason County,Fourth Quarter,11.0,62.0,158.3,776.0,-5.5,Construction,48319.0
157,157,Matagorda County,Fourth Quarter,49.0,460.0,-9.3,1080.0,-29.6,Construction,48321.0
158,158,Maverick County,Fourth Quarter,45.0,243.0,-3.6,646.0,6.1,Construction,48323.0
159,159,Medina County,Fourth Quarter,84.0,724.0,1.5,884.0,-0.3,Construction,48325.0
160,160,Menard County,Fourth Quarter,4.0,,,,,Construction,48327.0
161,161,Midland County,Fourth Quarter,419.0,5226.0,22.0,1347.0,10.8,Construction,48329.0
162,162,Milam County,Fourth Quarter,50.0,720.0,-1.1,1169.0,-10.0,Construction,48331.0
163,163,Mills County,Fourth Quarter,12.0,48.0,-2.0,578.0,0.9,Construction,48333.0
164,164,Mitchell County,Fourth Quarter,10.0,,,,,Construction,48335.0
165,165,Montague County,Fourth Quarter,46.0,176.0,-10.7,1080.0,20.8,Construction,48337.0
166,166,Montgomery County,Fourth Quarter,1129.0,14699.0,17.5,1319.0,-7.7,Construction,48339.0
167,167,Moore County,Fourth Quarter,43.0,,,,,Construction,48341.0
168,168,Morris County,Fourth Quarter,15.0,78.0,2.6,921.0,3.8,Construction,48343.0
169,169,Motley County,Fourth Quarter,3.0,,,,,Construction,48345.0
170,170,Nacogdoches County,Fourth Quarter,87.0,856.0,-27.2,1095.0,-6.3,Construction,48347.0
171,171,Navarro County,Fourth Quarter,77.0,842.0,1.6,1104.0,9.2,Construction,48349.0
172,172,Newton County,Fourth Quarter,7.0,,,,,Construction,48351.0
173,173,Nolan County,Fourth Quarter,28.0,275.0,3.8,1199.0,8.7,Construction,48353.0
174,174,Nueces County,Fourth Quarter,594.0,16606.0,-1.7,1298.0,-0.7,Construction,48355.0
175,175,Ochiltree County,Fourth Quarter,31.0,441.0,75.0,1426.0,-15.3,Construction,48357.0
176,176,Oldham County,Fourth Quarter,4.0,,,,,Construction,48359.0
177,177,Orange County,Fourth Quarter,125.0,2294.0,-9.5,1238.0,-6.5,Construction,48361.0
178,178,Palo Pinto County,Fourth Quarter,69.0,393.0,9.5,790.0,9.4,Construction,48363.0
179,179,Panola County,Fourth Quarter,52.0,1900.0,25.5,1141.0,-4.4,Construction,48365.0
180,180,Parker County,Fourth Quarter,371.0,2541.0,6.2,1236.0,16.3,Construction,48367.0
181,181,Parmer County,Fourth Quarter,25.0,,,,,Construction,48369.0
182,182,Pecos County,Fourth Quarter,33.0,332.0,24.3,1128.0,12.0,Construction,48371.0
183,183,Polk County,Fourth Quarter,86.0,503.0,19.5,1047.0,-1.1,Construction,48373.0
184,184,Potter County,Fourth Quarter,356.0,3861.0,-0.3,1043.0,0.0,Construction,48375.0
185,185,Presidio County,Fourth Quarter,9.0,,,,,Construction,48377.0
186,186,Rains County,Fourth Quarter,24.0,139.0,3.7,952.0,7.6,Construction,48379.0
187,187,Randall County,Fourth Quarter,288.0,2498.0,15.2,1137.0,-0.8,Construction,48381.0
188,188,Reagan County,Fourth Quarter,12.0,63.0,-14.9,882.0,-7.8,Construction,48383.0
189,189,Real County,Fourth Quarter,7.0,27.0,-18.2,456.0,6.0,Construction,48385.0
190,190,Red River County,Fourth Quarter,9.0,111.0,-37.6,1226.0,5.2,Construction,48387.0
191,191,Reeves County,Fourth Quarter,30.0,1024.0,186.0,1227.0,-9.8,Construction,48389.0
192,192,Refugio County,Fourth Quarter,18.0,,,,,Construction,48391.0
193,193,Roberts County,Fourth Quarter,2.0,,,,,Construction,48393.0
194,194,Robertson County,Fourth Quarter,19.0,390.0,51.8,881.0,14.9,Construction,48395.0
195,195,Rockwall County,Fourth Quarter,265.0,2011.0,7.3,1449.0,2.5,Construction,48397.0
196,196,Runnels County,Fourth Quarter,27.0,101.0,-16.5,736.0,-2.8,Construction,48399.0
197,197,Rusk County,Fourth Quarter,71.0,896.0,-7.2,1116.0,-7.5,Construction,48401.0
198,198,Sabine County,Fourth Quarter,16.0,221.0,90.5,899.0,7.8,Construction,48403.0
199,199,San Augustine County,Fourth Quarter,9.0,148.0,39.6,1931.0,30.8,Construction,48405.0
200,200,San Jacinto County,Fourth Quarter,29.0,101.0,-6.5,879.0,27.9,Construction,48407.0
201,201,San Patricio County,Fourth Quarter,97.0,5399.0,10.6,1300.0,-4.2,Construction,48409.0
202,202,San Saba County,Fourth Quarter,11.0,23.0,-25.8,484.0,-14.0,Construction,48411.0
203,203,Schleicher County,Fourth Quarter,7.0,160.0,,1001.0,,Construction,48413.0
204,204,Scurry County,Fourth Quarter,36.0,192.0,-50.6,935.0,5.6,Construction,48415.0
205,205,Shackelford County,Fourth Quarter,8.0,38.0,65.2,1447.0,-9.3,Construction,48417.0
206,206,Shelby County,Fourth Quarter,42.0,316.0,5.7,900.0,-9.1,Construction,48419.0
207,207,Sherman County,Fourth Quarter,7.0,,,,,Construction,48421.0
208,208,Smith County,Fourth Quarter,490.0,4188.0,2.0,993.0,4.2,Construction,48423.0
209,209,Somervell County,Fourth Quarter,18.0,178.0,43.5,1077.0,-3.8,Construction,48425.0
210,210,Starr County,Fourth Quarter,24.0,126.0,10.5,909.0,8.2,Construction,48427.0
211,211,Stephens County,Fourth Quarter,25.0,223.0,24.6,1084.0,13.4,Construction,48429.0
212,212,Sterling County,Fourth Quarter,4.0,24.0,-17.2,979.0,37.9,Construction,48431.0
213,213,Stonewall County,Fourth Quarter,10.0,39.0,-7.1,848.0,-5.3,Construction,48433.0
214,214,Sutton County,Fourth Quarter,13.0,121.0,17.5,1169.0,7.6,Construction,48435.0
215,215,Swisher County,Fourth Quarter,15.0,40.0,25.0,763.0,-12.1,Construction,48437.0
216,216,Tarrant County,Fourth Quarter,3252.0,50186.0,4.4,1338.0,7.6,Construction,48439.0
217,217,Taylor County,Fourth Quarter,326.0,2910.0,-3.6,1113.0,2.2,Construction,48441.0
218,218,Terrell County,Fourth Quarter,3.0,4.0,-20.0,1090.0,-32.1,Construction,48443.0
219,219,Terry County,Fourth Quarter,13.0,62.0,-3.1,755.0,-9.0,Construction,48445.0
220,220,Throckmorton County,Fourth Quarter,1.0,,,,,Construction,48447.0
221,221,Titus County,Fourth Quarter,41.0,283.0,2.2,1022.0,13.4,Construction,48449.0
222,222,Tom Green County,Fourth Quarter,303.0,2322.0,9.9,961.0,1.2,Construction,48451.0
223,223,Travis County,Fourth Quarter,2651.0,37950.0,1.5,1323.0,3.2,Construction,48453.0
224,224,Trinity County,Fourth Quarter,15.0,66.0,-24.1,754.0,10.1,Construction,48455.0
225,225,Tyler County,Fourth Quarter,19.0,66.0,-21.4,909.0,-4.1,Construction,48457.0
226,226,Upshur County,Fourth Quarter,70.0,599.0,-3.1,1006.0,-7.4,Construction,48459.0
227,227,Upton County,Fourth Quarter,8.0,110.0,13.4,1103.0,30.4,Construction,48461.0
228,228,Uvalde County,Fourth Quarter,50.0,309.0,4.4,931.0,-3.7,Construction,48463.0
229,229,Val Verde County,Fourth Quarter,68.0,303.0,-5.9,698.0,0.6,Construction,48465.0
230,230,Van Zandt County,Fourth Quarter,121.0,1017.0,-9.4,878.0,0.3,Construction,48467.0
231,231,Victoria County,Fourth Quarter,212.0,1868.0,-17.6,1039.0,-20.9,Construction,48469.0
232,232,Walker County,Fourth Quarter,96.0,758.0,7.2,771.0,-7.4,Construction,48471.0
233,233,Waller County,Fourth Quarter,113.0,1055.0,1.3,1309.0,12.4,Construction,48473.0
234,234,Ward County,Fourth Quarter,28.0,247.0,29.3,1793.0,8.2,Construction,48475.0
235,236,Webb County,Fourth Quarter,259.0,1917.0,-5.6,705.0,1.1,Construction,48479.0
236,237,Wharton County,Fourth Quarter,100.0,699.0,14.0,885.0,5.1,Construction,48481.0
237,238,Wheeler County,Fourth Quarter,10.0,56.0,,1059.0,,Construction,48483.0
238,239,Wichita County,Fourth Quarter,235.0,1695.0,-3.0,945.0,1.5,Construction,48485.0
239,240,Wilbarger County,Fourth Quarter,26.0,99.0,-25.6,550.0,-51.2,Construction,48487.0
240,241,Willacy County,Fourth Quarter,11.0,50.0,-37.5,605.0,-9.2,Construction,48489.0
241,242,Williamson County,Fourth Quarter,1149.0,12726.0,8.3,1143.0,3.5,Construction,48491.0
242,243,Wilson County,Fourth Quarter,125.0,769.0,9.5,833.0,-1.8,Construction,48493.0
243,244,Winkler County,Fourth Quarter,27.0,,,,,Construction,48495.0
244,245,Wise County,Fourth Quarter,178.0,1427.0,7.3,1065.0,7.5,Construction,48497.0
245,246,Wood County,Fourth Quarter,84.0,484.0,0.6,1005.0,12.4,Construction,48499.0
246,247,Yoakum County,Fourth Quarter,19.0,295.0,-15.5,1259.0,9.9,Construction,48501.0
247,248,Young County,Fourth Quarter,46.0,201.0,-4.7,925.0,20.3,Construction,48503.0
248,249,Zapata County,Fourth Quarter,9.0,136.0,5.4,928.0,-7.9,Construction,48505.0
249,250,Zavala County,Fourth Quarter,11.0,,,,,Construction,48507.0
250,251, ,,,,,,,,
251,0,Anderson County,Fourth Quarter,222.0,2396.0,-5.6,831.0,-1.3,Education and Health Services,48001.0
252,1,Andrews County,Fourth Quarter,25.0,160.0,-1.8,690.0,10.4,Education and Health Services,48003.0
253,2,Angelina County,Fourth Quarter,293.0,8197.0,-4.4,830.0,-1.1,Education and Health Services,48005.0
254,3,Aransas County,Fourth Quarter,58.0,398.0,-38.5,748.0,7.2,Education and Health Services,48007.0
255,4,Archer County,Fourth Quarter,20.0,121.0,33.0,537.0,16.0,Education and Health Services,48009.0
256,5,Armstrong County,Fourth Quarter,4.0,,,,,Education and Health Services,48011.0
257,6,Atascosa County,Fourth Quarter,77.0,1210.0,-2.3,824.0,5.0,Education and Health Services,48013.0
258,7,Austin County,Fourth Quarter,84.0,932.0,-1.5,610.0,8.0,Education and Health Services,48015.0
259,8,Bailey County,Fourth Quarter,11.0,176.0,-10.7,679.0,2.6,Education and Health Services,48017.0
260,9,Bandera County,Fourth Quarter,29.0,337.0,-9.2,1004.0,15.7,Education and Health Services,48019.0
261,10,Bastrop County,Fourth Quarter,212.0,1989.0,8.6,620.0,-0.6,Education and Health Services,48021.0
262,11,Baylor County,Fourth Quarter,17.0,372.0,4.5,674.0,1.8,Education and Health Services,48023.0
263,12,Bee County,Fourth Quarter,67.0,1291.0,7.0,703.0,-9.9,Education and Health Services,48025.0
264,13,Bell County,Fourth Quarter,774.0,21869.0,0.7,1403.0,7.2,Education and Health Services,48027.0
265,14,Bexar County,Fourth Quarter,9048.0,140626.0,1.2,917.0,0.5,Education and Health Services,48029.0
266,15,Blanco County,Fourth Quarter,46.0,218.0,3.3,724.0,10.7,Education and Health Services,48031.0
267,16,Borden County,Fourth Quarter,9.0,,,,,Education and Health Services,48033.0
268,17,Bosque County,Fourth Quarter,24.0,303.0,3.4,745.0,3.0,Education and Health Services,48035.0
269,18,Bowie County,Fourth Quarter,400.0,7980.0,0.1,972.0,6.9,Education and Health Services,48037.0
270,19,Brazoria County,Fourth Quarter,787.0,11231.0,3.8,826.0,7.8,Education and Health Services,48039.0
271,20,Brazos County,Fourth Quarter,508.0,10539.0,1.8,982.0,4.1,Education and Health Services,48041.0
272,21,Brewster County,Fourth Quarter,32.0,330.0,12.6,886.0,17.7,Education and Health Services,48043.0
273,22,Briscoe County,Fourth Quarter,3.0,18.0,0.0,228.0,7.5,Education and Health Services,48045.0
274,23,Brooks County,Fourth Quarter,22.0,439.0,2.6,332.0,1.8,Education and Health Services,48047.0
275,24,Brown County,Fourth Quarter,113.0,3354.0,-3.1,543.0,2.6,Education and Health Services,48049.0
276,25,Burleson County,Fourth Quarter,26.0,351.0,-3.8,708.0,1.9,Education and Health Services,48051.0
277,26,Burnet County,Fourth Quarter,128.0,2046.0,-1.5,954.0,-2.7,Education and Health Services,48053.0
278,27,Caldwell County,Fourth Quarter,102.0,1504.0,-1.0,664.0,-0.9,Education and Health Services,48055.0
279,28,Calhoun County,Fourth Quarter,54.0,546.0,-11.2,958.0,12.4,Education and Health Services,48057.0
280,29,Callahan County,Fourth Quarter,16.0,235.0,-4.1,481.0,2.6,Education and Health Services,48059.0
281,30,Cameron County,Fourth Quarter,1052.0,40562.0,2.8,556.0,-0.2,Education and Health Services,48061.0
282,31,Camp County,Fourth Quarter,43.0,480.0,-0.2,678.0,-1.7,Education and Health Services,48063.0
283,32,Carson County,Fourth Quarter,8.0,48.0,92.0,374.0,-13.0,Education and Health Services,48065.0
284,33,Cass County,Fourth Quarter,57.0,1458.0,9.6,453.0,4.9,Education and Health Services,48067.0
285,34,Castro County,Fourth Quarter,5.0,,,,,Education and Health Services,48069.0
286,35,Chambers County,Fourth Quarter,60.0,783.0,19.4,683.0,8.4,Education and Health Services,48071.0
287,36,Cherokee County,Fourth Quarter,86.0,1685.0,-4.5,615.0,0.5,Education and Health Services,48073.0
288,37,Childress County,Fourth Quarter,16.0,129.0,-2.3,521.0,-2.8,Education and Health Services,48075.0
289,38,Clay County,Fourth Quarter,5.0,148.0,2.8,590.0,12.2,Education and Health Services,48077.0
