,Area Name,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS
56,Dawson County,Second Quarter,29.0,373.0,13.4,278.0,1.5,Leisure and Hospitality,48115.0
57,Deaf Smith County,Second Quarter,41.0,450.0,-4.1,262.0,-1.9,Leisure and Hospitality,48117.0
58,Delta County,Second Quarter,6.0,27.0,80.0,355.0,6.3,Leisure and Hospitality,48119.0
59,Denton County,Second Quarter,1434.0,33287.0,2.6,358.0,2.9,Leisure and Hospitality,48121.0
60,DeWitt County,Second Quarter,54.0,622.0,9.7,279.0,0.7,Leisure and Hospitality,48123.0
61,Dickens County,Second Quarter,4.0,37.0,15.6,221.0,11.6,Leisure and Hospitality,48125.0
62,Dimmit County,Second Quarter,31.0,481.0,8.6,319.0,-12.6,Leisure and Hospitality,48127.0
63,Donley County,Second Quarter,13.0,115.0,2.7,257.0,-11.4,Leisure and Hospitality,48129.0
64,Duval County,Second Quarter,18.0,133.0,16.7,261.0,-1.5,Leisure and Hospitality,48131.0
65,Eastland County,Second Quarter,45.0,527.0,-5.2,278.0,18.3,Leisure and Hospitality,48133.0
66,Ector County,Second Quarter,337.0,8290.0,6.6,376.0,6.8,Leisure and Hospitality,48135.0
67,Edwards County,Second Quarter,6.0,30.0,150.0,303.0,-27.0,Leisure and Hospitality,48137.0
68,Ellis County,Second Quarter,258.0,5369.0,4.9,301.0,6.4,Leisure and Hospitality,48139.0
69,El Paso County,Second Quarter,1594.0,35468.0,1.1,295.0,0.3,Leisure and Hospitality,48141.0
70,Erath County,Second Quarter,113.0,1994.0,10.2,292.0,1.7,Leisure and Hospitality,48143.0
71,Falls County,Second Quarter,14.0,213.0,38.3,220.0,-17.0,Leisure and Hospitality,48145.0
72,Fannin County,Second Quarter,44.0,573.0,-8.8,254.0,6.7,Leisure and Hospitality,48147.0
73,Fayette County,Second Quarter,95.0,1266.0,7.7,311.0,0.0,Leisure and Hospitality,48149.0
74,Fisher County,Second Quarter,6.0,34.0,6.3,231.0,4.1,Leisure and Hospitality,48151.0
75,Floyd County,Second Quarter,11.0,61.0,-10.3,250.0,9.2,Leisure and Hospitality,48153.0
76,Foard County,Second Quarter,6.0,27.0,107.7,213.0,32.3,Leisure and Hospitality,48155.0
77,Fort Bend County,Second Quarter,1111.0,26241.0,1.8,350.0,3.2,Leisure and Hospitality,48157.0
78,Franklin County,Second Quarter,14.0,204.0,-1.0,282.0,11.0,Leisure and Hospitality,48159.0
79,Freestone County,Second Quarter,37.0,670.0,6.7,266.0,0.8,Leisure and Hospitality,48161.0
80,Frio County,Second Quarter,50.0,491.0,-0.6,285.0,2.5,Leisure and Hospitality,48163.0
81,Gaines County,Second Quarter,32.0,456.0,8.3,324.0,5.5,Leisure and Hospitality,48165.0
82,Galveston County,Second Quarter,791.0,20095.0,4.0,370.0,5.7,Leisure and Hospitality,48167.0
83,Garza County,Second Quarter,17.0,182.0,-7.1,260.0,9.2,Leisure and Hospitality,48169.0
84,Gillespie County,Second Quarter,139.0,2010.0,2.8,443.0,2.3,Leisure and Hospitality,48171.0
85,Glasscock County,Second Quarter,1.0,,,,,Leisure and Hospitality,48173.0
86,Goliad County,Second Quarter,17.0,173.0,-10.4,277.0,7.4,Leisure and Hospitality,48175.0
87,Gonzales County,Second Quarter,44.0,458.0,5.5,302.0,0.3,Leisure and Hospitality,48177.0
88,Gray County,Second Quarter,44.0,724.0,5.2,308.0,-1.3,Leisure and Hospitality,48179.0
89,Grayson County,Second Quarter,249.0,5518.0,1.7,341.0,9.6,Leisure and Hospitality,48181.0
90,Gregg County,Second Quarter,386.0,7336.0,-0.9,310.0,7.6,Leisure and Hospitality,48183.0
91,Grimes County,Second Quarter,47.0,422.0,-4.7,356.0,0.8,Leisure and Hospitality,48185.0
92,Guadalupe County,Second Quarter,217.0,4267.0,-4.0,327.0,3.5,Leisure and Hospitality,48187.0
93,Hale County,Second Quarter,66.0,1026.0,8.0,291.0,1.4,Leisure and Hospitality,48189.0
94,Hall County,Second Quarter,9.0,65.0,20.4,210.0,12.9,Leisure and Hospitality,48191.0
95,Hamilton County,Second Quarter,21.0,252.0,1.6,283.0,-3.1,Leisure and Hospitality,48193.0
96,Hansford County,Second Quarter,9.0,91.0,40.0,210.0,-21.1,Leisure and Hospitality,48195.0
97,Hardeman County,Second Quarter,8.0,106.0,-5.4,174.0,-1.1,Leisure and Hospitality,48197.0
98,Hardin County,Second Quarter,94.0,1671.0,5.7,266.0,3.5,Leisure and Hospitality,48199.0
99,Harris County,Second Quarter,10043.0,237072.0,1.3,451.0,4.6,Leisure and Hospitality,48201.0
100,Harrison County,Second Quarter,105.0,1888.0,16.6,291.0,-0.3,Leisure and Hospitality,48203.0
101,Hartley County,Second Quarter,5.0,110.0,-2.7,282.0,7.2,Leisure and Hospitality,48205.0
102,Haskell County,Second Quarter,16.0,88.0,-20.7,209.0,-11.8,Leisure and Hospitality,48207.0
103,Hays County,Second Quarter,458.0,9770.0,9.3,330.0,3.8,Leisure and Hospitality,48209.0
104,Hemphill County,Second Quarter,10.0,82.0,15.5,334.0,-2.1,Leisure and Hospitality,48211.0
105,Henderson County,Second Quarter,150.0,2220.0,0.8,271.0,5.4,Leisure and Hospitality,48213.0
106,Hidalgo County,Second Quarter,1161.0,25289.0,3.9,293.0,1.7,Leisure and Hospitality,48215.0
107,Hill County,Second Quarter,74.0,1042.0,3.8,278.0,-0.4,Leisure and Hospitality,48217.0
108,Hockley County,Second Quarter,40.0,550.0,4.8,294.0,0.3,Leisure and Hospitality,48219.0
109,Hood County,Second Quarter,133.0,2288.0,7.5,318.0,1.0,Leisure and Hospitality,48221.0
110,Hopkins County,Second Quarter,68.0,1359.0,11.5,321.0,2.2,Leisure and Hospitality,48223.0
111,Houston County,Second Quarter,53.0,725.0,-14.6,263.0,2.7,Leisure and Hospitality,48225.0
112,Howard County,Second Quarter,100.0,1284.0,-3.0,329.0,7.9,Leisure and Hospitality,48227.0
113,Hudspeth County,Second Quarter,5.0,18.0,20.0,465.0,-3.1,Leisure and Hospitality,48229.0
114,Hunt County,Second Quarter,156.0,2830.0,10.3,315.0,6.4,Leisure and Hospitality,48231.0
115,Hutchinson County,Second Quarter,56.0,747.0,-5.9,272.0,-2.5,Leisure and Hospitality,48233.0
116,Irion County,Second Quarter,3.0,9.0,-10.0,212.0,-4.5,Leisure and Hospitality,48235.0
117,Jack County,Second Quarter,19.0,186.0,5.7,300.0,-2.3,Leisure and Hospitality,48237.0
118,Jackson County,Second Quarter,24.0,328.0,11.2,264.0,-3.6,Leisure and Hospitality,48239.0
119,Jasper County,Second Quarter,60.0,984.0,4.6,310.0,2.0,Leisure and Hospitality,48241.0
120,Jeff Davis County,Second Quarter,15.0,223.0,1.4,362.0,-1.9,Leisure and Hospitality,48243.0
121,Jefferson County,Second Quarter,546.0,12233.0,2.7,342.0,-0.3,Leisure and Hospitality,48245.0
122,Jim Hogg County,Second Quarter,14.0,92.0,46.0,333.0,21.5,Leisure and Hospitality,48247.0
123,Jim Wells County,Second Quarter,84.0,1610.0,3.7,252.0,3.7,Leisure and Hospitality,48249.0
124,Johnson County,Second Quarter,279.0,5215.0,9.0,294.0,3.2,Leisure and Hospitality,48251.0
125,Jones County,Second Quarter,28.0,179.0,20.1,230.0,5.5,Leisure and Hospitality,48253.0
126,Karnes County,Second Quarter,47.0,554.0,-4.2,287.0,3.6,Leisure and Hospitality,48255.0
127,Kaufman County,Second Quarter,187.0,3363.0,3.4,280.0,2.6,Leisure and Hospitality,48257.0
128,Kendall County,Second Quarter,126.0,1999.0,13.5,408.0,5.4,Leisure and Hospitality,48259.0
129,Kenedy County,Second Quarter,4.0,13.0,-51.9,1104.0,46.6,Leisure and Hospitality,48261.0
130,Kent County,Second Quarter,2.0,,,,,Leisure and Hospitality,48263.0
131,Kerr County,Second Quarter,151.0,3049.0,5.5,413.0,-4.8,Leisure and Hospitality,48265.0
132,Kimble County,Second Quarter,27.0,271.0,-3.2,336.0,9.4,Leisure and Hospitality,48267.0
133,Kinney County,Second Quarter,8.0,37.0,117.6,187.0,-3.1,Leisure and Hospitality,48271.0
134,Kleberg County,Second Quarter,77.0,1422.0,-5.8,284.0,1.1,Leisure and Hospitality,48273.0
135,Knox County,Second Quarter,12.0,45.0,15.4,258.0,38.7,Leisure and Hospitality,48275.0
136,Lamar County,Second Quarter,119.0,1986.0,-1.7,290.0,5.5,Leisure and Hospitality,48277.0
137,Lamb County,Second Quarter,15.0,185.0,18.6,234.0,-1.7,Leisure and Hospitality,48279.0
138,Lampasas County,Second Quarter,32.0,488.0,18.7,275.0,1.5,Leisure and Hospitality,48281.0
139,La Salle County,Second Quarter,33.0,326.0,5.5,313.0,1.3,Leisure and Hospitality,48283.0
140,Lavaca County,Second Quarter,37.0,362.0,14.2,305.0,-7.0,Leisure and Hospitality,48285.0
141,Lee County,Second Quarter,33.0,422.0,0.7,315.0,1.0,Leisure and Hospitality,48287.0
142,Leon County,Second Quarter,37.0,476.0,-0.2,340.0,10.0,Leisure and Hospitality,48289.0
143,Liberty County,Second Quarter,91.0,1436.0,-2.2,330.0,0.6,Leisure and Hospitality,48291.0
144,Limestone County,Second Quarter,43.0,468.0,0.4,266.0,3.5,Leisure and Hospitality,48293.0
145,Lipscomb County,Second Quarter,3.0,8.0,,253.0,,Leisure and Hospitality,48295.0
146,Live Oak County,Second Quarter,42.0,410.0,0.2,272.0,1.1,Leisure and Hospitality,48297.0
147,Llano County,Second Quarter,52.0,1385.0,-5.0,552.0,14.3,Leisure and Hospitality,48299.0
148,Loving County,Second Quarter,2.0,,,,,Leisure and Hospitality,48301.0
149,Lubbock County,Second Quarter,745.0,18665.0,1.1,328.0,4.1,Leisure and Hospitality,48303.0
150,Lynn County,Second Quarter,11.0,46.0,130.0,1122.0,282.9,Leisure and Hospitality,48305.0
151,McCulloch County,Second Quarter,22.0,277.0,-4.8,288.0,2.9,Leisure and Hospitality,48307.0
152,McLennan County,Second Quarter,573.0,12131.0,4.1,307.0,1.7,Leisure and Hospitality,48309.0
153,McMullen County,Second Quarter,4.0,17.0,-26.1,488.0,-4.1,Leisure and Hospitality,48311.0
154,Madison County,Second Quarter,34.0,496.0,-11.1,264.0,9.1,Leisure and Hospitality,48313.0
155,Marion County,Second Quarter,24.0,343.0,-11.4,276.0,16.9,Leisure and Hospitality,48315.0
156,Martin County,Second Quarter,7.0,69.0,-14.8,346.0,8.8,Leisure and Hospitality,48317.0
157,Mason County,Second Quarter,17.0,151.0,-7.4,281.0,16.6,Leisure and Hospitality,48319.0
158,Matagorda County,Second Quarter,102.0,1279.0,9.3,318.0,0.6,Leisure and Hospitality,48321.0
159,Maverick County,Second Quarter,82.0,1644.0,7.5,275.0,-2.1,Leisure and Hospitality,48323.0
160,Medina County,Second Quarter,79.0,1085.0,4.8,289.0,5.5,Leisure and Hospitality,48325.0
161,Menard County,Second Quarter,5.0,30.0,7.1,252.0,13.0,Leisure and Hospitality,48327.0
162,Midland County,Second Quarter,370.0,9664.0,3.6,397.0,4.5,Leisure and Hospitality,48329.0
163,Milam County,Second Quarter,43.0,515.0,11.0,234.0,0.4,Leisure and Hospitality,48331.0
164,Mills County,Second Quarter,10.0,76.0,11.8,398.0,38.7,Leisure and Hospitality,48333.0
165,Mitchell County,Second Quarter,16.0,148.0,14.7,235.0,-1.3,Leisure and Hospitality,48335.0
166,Montague County,Second Quarter,34.0,421.0,-9.1,300.0,11.1,Leisure and Hospitality,48337.0
167,Montgomery County,Second Quarter,925.0,23885.0,1.8,383.0,1.1,Leisure and Hospitality,48339.0
168,Moore County,Second Quarter,48.0,653.0,-6.2,290.0,10.7,Leisure and Hospitality,48341.0
169,Morris County,Second Quarter,14.0,123.0,-4.7,242.0,11.5,Leisure and Hospitality,48343.0
170,Motley County,Second Quarter,5.0,35.0,25.0,254.0,-8.3,Leisure and Hospitality,48345.0
171,Nacogdoches County,Second Quarter,137.0,2896.0,2.4,282.0,4.8,Leisure and Hospitality,48347.0
172,Navarro County,Second Quarter,71.0,1381.0,3.1,290.0,-2.0,Leisure and Hospitality,48349.0
173,Newton County,Second Quarter,5.0,8.0,-27.3,542.0,30.3,Leisure and Hospitality,48351.0
174,Nolan County,Second Quarter,45.0,902.0,9.7,294.0,-0.7,Leisure and Hospitality,48353.0
175,Nueces County,Second Quarter,1004.0,23255.0,0.0,351.0,2.6,Leisure and Hospitality,48355.0
176,Ochiltree County,Second Quarter,22.0,326.0,-5.8,319.0,13.5,Leisure and Hospitality,48357.0
177,Oldham County,Second Quarter,8.0,50.0,6.4,248.0,2.9,Leisure and Hospitality,48359.0
178,Orange County,Second Quarter,155.0,2609.0,3.9,298.0,1.0,Leisure and Hospitality,48361.0
179,Palo Pinto County,Second Quarter,80.0,1190.0,0.1,303.0,-1.9,Leisure and Hospitality,48363.0
180,Panola County,Second Quarter,34.0,464.0,14.9,247.0,-5.4,Leisure and Hospitality,48365.0
181,Parker County,Second Quarter,218.0,3799.0,2.6,311.0,1.6,Leisure and Hospitality,48367.0
182,Parmer County,Second Quarter,9.0,88.0,23.9,255.0,-9.3,Leisure and Hospitality,48369.0
183,Pecos County,Second Quarter,52.0,714.0,0.6,322.0,7.3,Leisure and Hospitality,48371.0
184,Polk County,Second Quarter,73.0,1172.0,1.7,298.0,8.8,Leisure and Hospitality,48373.0
185,Potter County,Second Quarter,419.0,9031.0,1.0,330.0,4.4,Leisure and Hospitality,48375.0
186,Presidio County,Second Quarter,27.0,234.0,6.4,418.0,-6.1,Leisure and Hospitality,48377.0
187,Rains County,Second Quarter,17.0,216.0,14.9,281.0,7.3,Leisure and Hospitality,48379.0
188,Randall County,Second Quarter,198.0,4647.0,-3.3,299.0,7.6,Leisure and Hospitality,48381.0
189,Reagan County,Second Quarter,12.0,121.0,-12.9,314.0,40.8,Leisure and Hospitality,48383.0
190,Real County,Second Quarter,16.0,235.0,-10.6,405.0,50.6,Leisure and Hospitality,48385.0
191,Red River County,Second Quarter,15.0,95.0,2.2,244.0,0.4,Leisure and Hospitality,48387.0
192,Reeves County,Second Quarter,41.0,633.0,6.4,403.0,13.5,Leisure and Hospitality,48389.0
193,Refugio County,Second Quarter,17.0,267.0,13.6,271.0,2.3,Leisure and Hospitality,48391.0
194,Roberts County,Second Quarter,1.0,,,,,Leisure and Hospitality,48393.0
195,Robertson County,Second Quarter,31.0,405.0,0.0,298.0,13.7,Leisure and Hospitality,48395.0
196,Rockwall County,Second Quarter,192.0,4496.0,-1.7,347.0,1.2,Leisure and Hospitality,48397.0
197,Runnels County,Second Quarter,22.0,155.0,9.2,257.0,23.6,Leisure and Hospitality,48399.0
198,Rusk County,Second Quarter,74.0,961.0,3.0,274.0,1.5,Leisure and Hospitality,48401.0
199,Sabine County,Second Quarter,11.0,104.0,-3.7,277.0,-1.4,Leisure and Hospitality,48403.0
200,San Augustine County,Second Quarter,7.0,42.0,31.3,271.0,-24.7,Leisure and Hospitality,48405.0
201,San Jacinto County,Second Quarter,15.0,187.0,22.2,250.0,11.6,Leisure and Hospitality,48407.0
202,San Patricio County,Second Quarter,128.0,2378.0,2.5,315.0,3.6,Leisure and Hospitality,48409.0
203,San Saba County,Second Quarter,16.0,102.0,1.0,253.0,8.1,Leisure and Hospitality,48411.0
204,Schleicher County,Second Quarter,2.0,,,,,Leisure and Hospitality,48413.0
205,Scurry County,Second Quarter,51.0,528.0,-5.5,275.0,-3.2,Leisure and Hospitality,48415.0
206,Shackelford County,Second Quarter,9.0,105.0,0.0,290.0,13.7,Leisure and Hospitality,48417.0
207,Shelby County,Second Quarter,39.0,551.0,4.0,282.0,-0.4,Leisure and Hospitality,48419.0
208,Sherman County,Second Quarter,4.0,18.0,-59.1,266.0,-18.4,Leisure and Hospitality,48421.0
209,Smith County,Second Quarter,526.0,11646.0,1.7,334.0,7.1,Leisure and Hospitality,48423.0
210,Somervell County,Second Quarter,34.0,448.0,-11.6,409.0,12.4,Leisure and Hospitality,48425.0
211,Starr County,Second Quarter,61.0,908.0,0.3,255.0,-3.8,Leisure and Hospitality,48427.0
212,Stephens County,Second Quarter,19.0,194.0,2.6,268.0,-7.9,Leisure and Hospitality,48429.0
213,Sterling County,Second Quarter,3.0,,,,,Leisure and Hospitality,48431.0
214,Stonewall County,Second Quarter,7.0,34.0,3.0,165.0,4.4,Leisure and Hospitality,48433.0
215,Sutton County,Second Quarter,15.0,153.0,0.0,273.0,-0.4,Leisure and Hospitality,48435.0
216,Swisher County,Second Quarter,14.0,151.0,6.3,242.0,-8.0,Leisure and Hospitality,48437.0
217,Tarrant County,Second Quarter,4211.0,107074.0,2.3,456.0,4.1,Leisure and Hospitality,48439.0
218,Taylor County,Second Quarter,365.0,7729.0,0.5,324.0,1.3,Leisure and Hospitality,48441.0
219,Terrell County,Second Quarter,4.0,32.0,,284.0,,Leisure and Hospitality,48443.0
220,Terry County,Second Quarter,22.0,238.0,-8.1,259.0,6.6,Leisure and Hospitality,48445.0
221,Throckmorton County,Second Quarter,2.0,,,,,Leisure and Hospitality,48447.0
222,Titus County,Second Quarter,62.0,1216.0,-6.6,289.0,4.3,Leisure and Hospitality,48449.0
223,Tom Green County,Second Quarter,278.0,6291.0,5.2,312.0,0.3,Leisure and Hospitality,48451.0
224,Travis County,Second Quarter,3687.0,92000.0,2.2,475.0,6.3,Leisure and Hospitality,48453.0
225,Trinity County,Second Quarter,22.0,456.0,-2.1,400.0,3.6,Leisure and Hospitality,48455.0
226,Tyler County,Second Quarter,24.0,289.0,4.3,222.0,-9.4,Leisure and Hospitality,48457.0
227,Upshur County,Second Quarter,48.0,807.0,2.5,255.0,0.4,Leisure and Hospitality,48459.0
228,Upton County,Second Quarter,9.0,32.0,33.3,196.0,-8.4,Leisure and Hospitality,48461.0
229,Uvalde County,Second Quarter,74.0,1226.0,5.6,300.0,1.0,Leisure and Hospitality,48463.0
230,Val Verde County,Second Quarter,96.0,1844.0,0.5,289.0,-2.0,Leisure and Hospitality,48465.0
231,Van Zandt County,Second Quarter,86.0,2089.0,4.5,291.0,8.6,Leisure and Hospitality,48467.0
232,Victoria County,Second Quarter,240.0,4453.0,-1.7,336.0,6.7,Leisure and Hospitality,48469.0
233,Walker County,Second Quarter,111.0,2514.0,3.9,280.0,2.6,Leisure and Hospitality,48471.0
234,Waller County,Second Quarter,57.0,1191.0,-2.4,338.0,5.6,Leisure and Hospitality,48473.0
235,Ward County,Second Quarter,37.0,399.0,-1.0,315.0,5.4,Leisure and Hospitality,48475.0
236,Washington County,Second Quarter,85.0,1320.0,-5.9,307.0,8.9,Leisure and Hospitality,48477.0
237,Webb County,Second Quarter,477.0,11623.0,4.7,298.0,0.3,Leisure and Hospitality,48479.0
238,Wharton County,Second Quarter,89.0,1271.0,-11.6,281.0,0.7,Leisure and Hospitality,48481.0
239,Wheeler County,Second Quarter,27.0,312.0,-9.3,277.0,-10.9,Leisure and Hospitality,48483.0
240,Wichita County,Second Quarter,317.0,6525.0,0.3,297.0,4.9,Leisure and Hospitality,48485.0
241,Wilbarger County,Second Quarter,29.0,406.0,-19.3,276.0,10.8,Leisure and Hospitality,48487.0
242,Willacy County,Second Quarter,34.0,417.0,8.6,254.0,1.6,Leisure and Hospitality,48489.0
243,Williamson County,Second Quarter,950.0,21626.0,2.8,371.0,3.9,Leisure and Hospitality,48491.0
244,Wilson County,Second Quarter,63.0,636.0,-1.4,298.0,4.2,Leisure and Hospitality,48493.0
245,Winkler County,Second Quarter,14.0,140.0,15.7,265.0,-13.4,Leisure and Hospitality,48495.0
246,Wise County,Second Quarter,112.0,1706.0,-5.2,302.0,3.4,Leisure and Hospitality,48497.0
247,Wood County,Second Quarter,88.0,1115.0,4.4,291.0,2.1,Leisure and Hospitality,48499.0
248,Yoakum County,Second Quarter,21.0,198.0,13.8,264.0,0.4,Leisure and Hospitality,48501.0
249,Young County,Second Quarter,46.0,636.0,1.6,275.0,-2.5,Leisure and Hospitality,48503.0
250,Zapata County,Second Quarter,23.0,221.0,6.3,251.0,-5.3,Leisure and Hospitality,48505.0
251,Zavala County,Second Quarter,13.0,181.0,19.9,241.0,-4.0,Leisure and Hospitality,48507.0
252, ,,,,,,,,
253,Anderson County,Second Quarter,229.0,2445.0,-3.7,802.0,6.4,Education and Health Services,48001.0
254,Andrews County,Second Quarter,23.0,158.0,5.3,658.0,21.0,Education and Health Services,48003.0
255,Angelina County,Second Quarter,284.0,8354.0,2.8,786.0,1.6,Education and Health Services,48005.0
256,Aransas County,Second Quarter,60.0,598.0,3.3,693.0,9.1,Education and Health Services,48007.0
257,Archer County,Second Quarter,18.0,97.0,19.8,463.0,19.3,Education and Health Services,48009.0
258,Armstrong County,Second Quarter,4.0,63.0,,502.0,,Education and Health Services,48011.0
259,Atascosa County,Second Quarter,79.0,1196.0,1.0,786.0,6.1,Education and Health Services,48013.0
260,Austin County,Second Quarter,82.0,916.0,-4.4,592.0,9.0,Education and Health Services,48015.0
261,Bailey County,Second Quarter,11.0,194.0,2.1,634.0,11.4,Education and Health Services,48017.0
262,Bandera County,Second Quarter,32.0,344.0,-3.6,897.0,10.9,Education and Health Services,48019.0
263,Bastrop County,Second Quarter,206.0,1959.0,9.5,626.0,3.3,Education and Health Services,48021.0
264,Baylor County,Second Quarter,15.0,352.0,3.2,672.0,1.2,Education and Health Services,48023.0
265,Bee County,Second Quarter,67.0,1248.0,6.6,635.0,-4.8,Education and Health Services,48025.0
266,Bell County,Second Quarter,758.0,21633.0,4.7,1318.0,21.3,Education and Health Services,48027.0
267,Bexar County,Second Quarter,8755.0,138978.0,3.7,848.0,5.9,Education and Health Services,48029.0
268,Blanco County,Second Quarter,45.0,198.0,-3.9,600.0,2.7,Education and Health Services,48031.0
269,Borden County,Second Quarter,7.0,,,,,Education and Health Services,48033.0
